ìsìπï{åßéwíËésÉRÅ[Éh,åí ó í≤ç∏íPà ãÊä‘î‘çÜ,ìπòHéÌï ,òHê¸î‘çÜ,óﬂòaÇRîNìxí≤ç∏åí ó äœë™ÅEîÒäœë™ÇÃï ,å¬ï í≤ç∏äœë™íläàópÇÃï ,ÇPÇQÅEÇQÇSéûä‘äœë™ÇÃï ,åí ó äœë™îNåéì˙,ìVåÛ,è„ÇËÅEâ∫ÇËÇÃï ,é‘éÌãÊï™,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇVéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇWéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇXéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇOéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇPéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇQéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇRéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇSéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇTéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇUéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇVéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇWéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇXéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇOéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇPéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇQéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇRéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇOéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇRéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇSéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇTéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇUéûë‰,íãä‘ÇPÇQéûä‘é©ìÆé‘óﬁåí ó Åië‰Åj,ÇQÇSéûä‘é©ìÆé‘óﬁåí ó Åië‰Åj
37000,10,1,1611,1,0,2,20210929,2,1,1,319,346,379,352,328,318,285,284,326,310,315,329,234,140,88,63,41,22,19,7,15,25,55,140,3891,4740
37000,10,1,1611,1,0,2,20210929,2,1,2,121,101,120,149,175,160,145,143,142,149,141,97,138,129,134,99,172,123,63,50,59,61,109,111,1643,2891
37000,10,1,1611,1,0,2,20210929,2,2,1,280,252,234,253,292,307,261,360,348,368,457,313,254,150,68,55,46,36,28,8,15,12,36,171,3725,4604
37000,10,1,1611,1,0,2,20210929,2,2,2,116,104,117,124,118,122,122,126,91,102,118,151,139,119,138,125,147,112,99,79,85,71,87,115,1411,2727
37000,20,1,1611,1,0,2,20210929,2,1,1,347,365,401,360,329,306,302,277,324,298,286,314,224,127,89,57,45,17,14,11,14,25,57,159,3909,4748
37000,20,1,1611,1,0,2,20210929,2,1,2,130,115,122,150,184,165,141,133,144,155,131,109,136,128,122,102,171,124,57,54,49,65,110,103,1679,2900
37000,20,1,1611,1,0,2,20210929,2,2,1,257,249,235,252,295,302,266,352,362,376,460,333,253,158,67,48,47,36,22,13,16,11,28,151,3739,4589
37000,20,1,1611,1,0,2,20210929,2,2,2,123,101,121,128,127,125,114,126,99,97,126,155,136,116,130,122,160,114,104,79,86,77,83,112,1442,2761
37000,30,1,1611,1,0,2,20210929,2,1,1,425,440,457,390,361,332,313,312,352,317,316,331,219,129,98,59,48,17,17,10,12,24,61,170,4346,5210
37000,30,1,1611,1,0,2,20210929,2,1,2,136,125,140,164,179,164,145,146,141,159,131,107,138,130,124,106,186,109,59,59,49,66,95,114,1737,2972
37000,30,1,1611,1,0,2,20210929,2,2,1,291,278,250,259,306,317,291,377,390,439,501,381,276,173,80,50,47,41,23,18,13,15,31,146,4080,4993
37000,30,1,1611,1,0,2,20210929,2,2,2,120,113,120,135,130,124,112,131,115,99,130,152,131,123,125,123,160,118,104,89,84,81,83,113,1481,2815
37000,40,1,1611,1,0,2,20210929,2,1,1,466,480,468,400,378,356,340,308,367,348,340,367,226,134,101,62,48,22,19,9,16,24,63,192,4618,5534
37000,40,1,1611,1,0,2,20210929,2,1,2,138,126,155,163,196,169,151,150,139,172,122,106,150,126,125,115,180,102,59,61,51,67,93,115,1787,3031
37000,40,1,1611,1,0,2,20210929,2,2,1,363,325,266,272,314,339,326,375,412,457,553,412,291,179,89,53,49,42,21,22,14,13,29,149,4414,5365
37000,40,1,1611,1,0,2,20210929,2,2,2,131,114,119,140,145,122,124,137,116,92,124,159,136,126,119,121,160,123,108,85,87,91,87,109,1523,2875
37000,50,1,1611,1,0,2,20210929,2,1,1,502,516,487,411,380,365,356,327,378,348,371,382,236,136,103,61,53,20,18,9,21,23,68,212,4823,5783
37000,50,1,1611,1,0,2,20210929,2,1,2,128,130,153,164,204,172,152,147,145,175,119,105,148,131,128,114,178,92,63,60,48,71,88,130,1794,3045
37000,50,1,1611,1,0,2,20210929,2,2,1,393,346,277,266,328,350,335,386,422,475,576,435,299,181,95,52,48,43,25,20,13,14,29,154,4589,5562
37000,50,1,1611,1,0,2,20210929,2,2,2,131,111,118,146,134,130,128,138,120,92,129,149,132,125,132,116,154,122,106,87,89,90,89,111,1526,2879
37000,60,1,1611,1,0,2,20210929,2,1,1,547,580,482,428,381,379,362,340,376,343,386,411,239,123,111,67,50,23,20,11,21,23,62,219,5015,5984
37000,60,1,1611,1,0,2,20210929,2,1,2,146,126,163,171,204,175,160,149,146,166,116,115,141,131,122,117,171,93,67,55,46,68,91,125,1837,3064
37000,60,1,1611,1,0,2,20210929,2,2,1,454,370,286,283,332,344,344,378,452,483,600,448,318,188,99,62,46,45,23,23,13,13,33,164,4774,5801
37000,60,1,1611,1,0,2,20210929,2,2,2,131,119,122,145,127,145,130,136,121,97,124,138,129,121,128,109,147,129,98,91,98,76,92,113,1535,2866
37000,70,1,1611,1,0,2,20210929,2,1,1,490,510,441,398,346,339,312,314,345,305,347,352,212,112,108,61,41,22,18,9,20,21,50,207,4499,5380
37000,70,1,1611,1,0,2,20210929,2,1,2,135,121,152,167,187,176,145,139,142,150,115,110,141,125,118,124,169,87,64,52,47,64,94,109,1739,2933
37000,70,1,1611,1,0,2,20210929,2,2,1,399,313,254,255,306,314,303,335,412,442,548,391,290,176,90,51,45,44,21,21,11,13,26,147,4272,5207
37000,70,1,1611,1,0,2,20210929,2,2,2,131,103,117,141,120,139,114,126,118,88,108,132,124,117,130,107,139,133,93,89,98,74,88,108,1437,2737
37000,80,1,1611,1,0,2,20210929,2,1,1,490,510,441,398,346,339,312,314,345,305,347,352,212,112,108,61,41,22,18,9,20,21,50,207,4499,5380
37000,80,1,1611,1,0,2,20210929,2,1,2,135,121,152,167,187,176,145,139,142,150,115,110,141,125,118,124,169,87,64,52,47,64,94,109,1739,2933
37000,80,1,1611,1,0,2,20210929,2,2,1,399,313,254,255,306,314,303,335,412,442,548,391,290,176,90,51,45,44,21,21,11,13,26,147,4272,5207
37000,80,1,1611,1,0,2,20210929,2,2,2,131,103,117,141,120,139,114,126,118,88,108,132,124,117,130,107,139,133,93,89,98,74,88,108,1437,2737
37000,90,1,1611,1,0,2,20210929,2,1,1,697,689,501,466,374,363,315,366,399,379,467,456,256,128,123,70,45,22,21,9,21,23,52,246,5472,6488
