ìsìπï{åßéwíËésÉRÅ[Éh,åí ó í≤ç∏íPà ãÊä‘î‘çÜ,ìπòHéÌï ,òHê¸î‘çÜ,óﬂòaÇRîNìxí≤ç∏åí ó äœë™ÅEîÒäœë™ÇÃï ,å¬ï í≤ç∏äœë™íläàópÇÃï ,ÇPÇQÅEÇQÇSéûä‘äœë™ÇÃï ,åí ó äœë™îNåéì˙,ìVåÛ,è„ÇËÅEâ∫ÇËÇÃï ,é‘éÌãÊï™,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇVéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇWéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇXéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇOéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇPéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇQéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇRéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇSéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇTéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇUéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇVéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇWéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇXéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇOéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇPéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇQéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇRéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇOéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇRéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇSéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇTéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇUéûë‰,íãä‘ÇPÇQéûä‘é©ìÆé‘óﬁåí ó Åië‰Åj,ÇQÇSéûä‘é©ìÆé‘óﬁåí ó Åië‰Åj
14000,40,1,1010,1,0,2,20210929,1,1,1,2772,2391,1974,1900,2132,2386,2559,3210,3980,4157,3927,3494,2310,1673,1053,641,369,236,280,158,180,274,1080,2834,34882,45970
14000,40,1,1010,1,0,2,20210929,1,1,2,1259,1121,1329,1377,1286,1176,1072,1081,959,848,667,690,667,625,610,522,865,926,1509,1262,1439,1521,1770,1457,12865,26038
14000,40,1,1010,1,0,2,20210929,1,2,1,3802,2936,2568,2872,2819,2437,2242,2151,2212,2490,2883,2569,1945,1314,895,598,381,263,168,151,233,269,1085,3519,31981,42802
14000,40,1,1010,1,0,2,20210929,1,2,2,933,948,1296,1651,1627,1530,1396,1440,1474,1376,1188,954,960,1129,1234,1106,862,645,509,452,581,523,745,1056,15813,25615
14000,50,1,1010,1,0,2,20210929,1,1,1,2254,1822,1609,1713,1981,2106,2428,3007,3662,3932,3759,2983,1991,1503,964,618,307,230,278,149,183,277,845,2093,31256,40694
14000,50,1,1010,1,0,2,20210929,1,1,2,1264,1121,1231,1312,1193,1081,1051,1079,1033,1020,842,858,803,776,906,1042,1274,1173,1869,1629,2072,2081,1897,1490,13085,30097
14000,50,1,1010,1,0,2,20210929,1,2,1,3553,2904,2328,2491,2463,2116,1916,1805,1807,1947,2240,1998,1500,1154,820,525,373,256,187,139,219,251,878,2841,27568,36711
14000,50,1,1010,1,0,2,20210929,1,2,2,932,962,1217,1609,1522,1650,1511,1550,1602,1643,1586,1423,1470,1535,1741,1421,1107,859,666,620,692,688,784,1045,17207,29835
14000,60,1,1010,1,0,2,20210929,1,1,1,1038,877,781,830,924,985,1382,1801,2284,2420,2296,1861,1209,891,586,357,188,150,206,105,139,167,367,876,17479,22720
14000,60,1,1010,1,0,2,20210929,1,1,2,883,806,834,911,848,810,801,810,775,741,664,672,640,664,799,936,1173,1064,1711,1535,1940,1845,1566,1073,9555,24501
14000,60,1,1010,1,0,2,20210929,1,2,1,1829,1534,1421,1437,1435,1187,1060,980,972,1008,1118,958,854,663,479,328,234,170,135,85,169,178,617,1832,14939,20683
14000,60,1,1010,1,0,2,20210929,1,2,2,627,686,953,1266,1231,1315,1224,1261,1339,1314,1337,1221,1345,1399,1662,1333,1034,767,590,499,607,572,632,754,13774,24968
14000,70,1,1010,1,0,2,20210929,1,1,1,771,728,688,719,777,933,1336,1674,2192,2204,2178,1621,1124,853,478,279,169,174,197,114,142,182,301,642,15821,20476
14000,70,1,1010,1,0,2,20210929,1,1,2,862,772,817,910,864,794,806,798,773,756,710,687,698,747,896,1078,1338,1349,1820,1847,2087,1911,1499,1037,9549,25856
14000,70,1,1010,1,0,2,20210929,1,2,1,1496,1259,1226,1358,1307,1153,988,858,886,838,927,797,666,568,443,306,231,160,128,108,151,204,435,1490,13093,17983
14000,70,1,1010,1,0,2,20210929,1,2,2,599,653,901,1246,1241,1295,1199,1271,1317,1409,1411,1366,1359,1512,1846,1578,1307,876,702,555,585,679,658,780,13908,26345
14000,80,1,1010,1,0,2,20210929,1,1,1,478,499,569,564,646,826,1164,1445,1888,1873,1681,1348,995,739,407,251,154,172,133,105,134,154,219,405,12981,16849
14000,80,1,1010,1,0,2,20210929,1,1,2,734,648,690,761,759,728,742,709,706,674,694,680,667,774,957,1177,1325,1568,1490,1900,1969,1759,1204,867,8525,24182
